species_code,common_name,scientific_name,habitat,tipping_pt,avg_37pct,stdev_37pct,lower95_37pct,upper95_37pct,sum_cna,over_upper95_37pct,under_lower95_37pct,avg_44pct,stdev_44pct,lower95_44pct,upper95_44pct,sum_carbon,over_upper95_44pct,under_lower95_44pct
cedwax,Cedar Waxwing,Bombycilla cedrorum,Forest,NA,0.37000,0.00060,0.36900,0.37100,0.57500,1.00000,0.00000,0.44000,0.00060,0.43900,0.44100,0.55600,1.00000,0.00000
cerwar,Cerulean Warbler,Setophaga cerulea,Forest,Tipping Point,0.37000,0.00380,0.36300,0.37700,0.90600,1.00000,0.00000,0.44000,0.00380,0.43300,0.44800,0.93600,1.00000,0.00000
chbchi,Chestnut-backed Chickadee,Poecile rufescens,Forest,NA,0.37000,0.00300,0.36400,0.37600,0.55900,1.00000,0.00000,0.44000,0.00300,0.43400,0.44600,0.89900,1.00000,0.00000
chclon,Chestnut-collared Longspur,Calcarius ornatus,Grasslands,Tipping Point,0.37000,0.00200,0.36600,0.37400,0.37400,0.00000,0.00000,0.44000,0.00220,0.43600,0.44400,0.35500,0.00000,1.00000
chirav,Chihuahuan Raven,Corvus cryptoleucus,Aridlands,NA,0.37000,0.00310,0.36400,0.37600,0.32700,0.00000,1.00000,0.44000,0.00340,0.43300,0.44700,0.04300,0.00000,1.00000
chispa,Chipping Sparrow,Spizella passerina,Forest,NA,0.37000,0.00050,0.36900,0.37100,0.50600,1.00000,0.00000,0.44000,0.00050,0.43900,0.44100,0.50600,1.00000,0.00000
chiswi,Chimney Swift,Chaetura pelagica,Forest,Tipping Point,0.37000,0.00340,0.36300,0.37700,0.57100,1.00000,0.00000,0.44000,0.00340,0.43300,0.44700,0.56200,1.00000,0.00000
chswar,Chestnut-sided Warbler,Setophaga pensylvanica,Forest,NA,0.37000,0.00120,0.36800,0.37200,0.64900,1.00000,0.00000,0.44000,0.00130,0.43700,0.44200,0.78300,1.00000,0.00000
chwwid,Chuck-will's-widow,Antrostomus carolinensis,Forest,NA,0.37000,0.00170,0.36700,0.37300,0.82300,1.00000,0.00000,0.44000,0.00170,0.43700,0.44300,0.71000,1.00000,0.00000
cintea,Cinnamon Teal,Spatula cyanoptera,Water/wetland,NA,0.37000,0.00270,0.36500,0.37500,0.17200,0.00000,1.00000,0.44000,0.00280,0.43400,0.44500,0.15500,0.00000,1.00000
clagre,Clark's Grebe,Aechmophorus clarkii,Water/wetland,Tipping Point,0.37000,0.01280,0.34400,0.39500,0.35000,0.00000,0.00000,0.44000,0.01380,0.41300,0.46800,0.26800,0.00000,1.00000
clanut,Clark's Nutcracker,Nucifraga columbiana,Forest,NA,0.37000,0.00220,0.36600,0.37400,0.25700,0.00000,1.00000,0.44000,0.00210,0.43600,0.44400,0.84500,1.00000,0.00000
clcspa,Clay-colored Sparrow,Spizella pallida,Grasslands,NA,0.37000,0.00100,0.36800,0.37200,0.43200,1.00000,0.00000,0.44000,0.00100,0.43800,0.44200,0.37900,0.00000,1.00000
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,Habitat Generalist,NA,0.37000,0.00080,0.36800,0.37100,0.35400,0.00000,1.00000,0.44000,0.00080,0.43800,0.44200,0.33500,0.00000,1.00000
cogdov,Common Ground Dove,Columbina passerina,Aridlands,NA,0.37000,0.00350,0.36300,0.37700,0.49500,1.00000,0.00000,0.44000,0.00340,0.43400,0.44700,0.27800,0.00000,1.00000
comgal1,Common Gallinule,Gallinula galeata,Water/wetland,NA,0.37000,0.00650,0.35700,0.38200,0.50300,1.00000,0.00000,0.44000,0.00640,0.42800,0.45300,0.55800,1.00000,0.00000
comgol,Common Goldeneye,Bucephala clangula,Water/wetland,NA,0.36800,0.00420,0.36000,0.37600,0.29800,0.00000,1.00000,0.43700,0.00430,0.42900,0.44600,0.44800,1.00000,0.00000
comgra,Common Grackle,Quiscalus quiscula,Habitat Generalist,NA,0.37000,0.01230,0.34500,0.39400,0.34800,0.00000,0.00000,0.44000,0.01290,0.41500,0.46500,0.37900,0.00000,1.00000
comloo,Common Loon,Gavia immer,Water/wetland,NA,0.36400,0.00400,0.35600,0.37200,0.42200,1.00000,0.00000,0.43300,0.00420,0.42400,0.44100,0.51400,1.00000,0.00000
commer,Common Merganser,Mergus merganser,Water/wetland,NA,0.36900,0.00810,0.35300,0.38500,0.43500,1.00000,0.00000,0.44000,0.00850,0.42300,0.45600,0.58700,1.00000,0.00000
comnig,Common Nighthawk,Chordeiles minor,Habitat Generalist,NA,0.37000,0.00070,0.36900,0.37100,0.46700,1.00000,0.00000,0.44000,0.00080,0.43800,0.44100,0.55300,1.00000,0.00000
compoo,Common Poorwill,Phalaenoptilus nuttallii,Aridlands,NA,0.37000,0.00140,0.36700,0.37300,0.32500,0.00000,1.00000,0.44000,0.00150,0.43700,0.44300,0.40200,0.00000,1.00000
comrav,Common Raven,Corvus corax,Habitat Generalist,NA,0.36900,0.00060,0.36800,0.37000,0.20700,0.00000,1.00000,0.43900,0.00060,0.43800,0.44000,0.34600,0.00000,1.00000
comred,Common Redpoll,Acanthis flammea,Water/wetland,NA,0.37000,0.00100,0.36800,0.37200,0.14400,0.00000,1.00000,0.44000,0.00100,0.43800,0.44200,0.34400,0.00000,1.00000
comter,Common Tern,Sterna hirundo,Water/wetland,NA,0.32400,0.02300,0.27900,0.36900,0.68500,1.00000,0.00000,0.38600,0.02450,0.33800,0.43400,0.19200,0.00000,1.00000
comyel,Common Yellowthroat,Geothlypis trichas,Habitat Generalist,NA,0.37000,0.00060,0.36900,0.37100,0.44500,1.00000,0.00000,0.44000,0.00060,0.43900,0.44100,0.49800,1.00000,0.00000
conwar,Connecticut Warbler,Oporornis agilis,Forest,NA,0.37000,0.00550,0.35900,0.38100,0.40100,1.00000,0.00000,0.44000,0.00520,0.43000,0.45000,0.80200,1.00000,0.00000
coohaw,Cooper's Hawk,Accipiter cooperii,Forest,NA,0.37000,0.00050,0.36900,0.37100,0.39100,1.00000,0.00000,0.44000,0.00050,0.43900,0.44100,0.41600,0.00000,1.00000
corfly,Cordilleran Flycatcher,Empidonax occidentalis,Forest,NA,0.37000,0.00240,0.36500,0.37500,0.40300,1.00000,0.00000,0.44000,0.00240,0.43500,0.44500,0.78600,1.00000,0.00000
coshum,Costa's Hummingbird,Calypte costae,Aridlands,NA,0.37000,0.00330,0.36400,0.37700,0.21700,0.00000,1.00000,0.44000,0.00360,0.43300,0.44700,0.08100,0.00000,1.00000
coukin,Couch's Kingbird,Tyrannus couchii,Aridlands,NA,0.37000,0.00550,0.35900,0.38100,0.32200,0.00000,1.00000,0.44000,0.00560,0.42900,0.45100,0.06900,0.00000,1.00000
cowscj1,California Scrub-Jay,Aphelocoma californica,Forest,NA,0.37000,0.00360,0.36300,0.37700,0.60000,1.00000,0.00000,0.44000,0.00400,0.43200,0.44800,0.52800,1.00000,0.00000
crithr,Crissal Thrasher,Toxostoma crissale,Aridlands,NA,0.37000,0.00300,0.36400,0.37600,0.27900,0.00000,1.00000,0.44000,0.00310,0.43400,0.44600,0.02300,0.00000,1.00000
cubthr,Curve-billed Thrasher,Toxostoma curvirostre,Aridlands,NA,0.37000,0.00290,0.36500,0.37600,0.40100,1.00000,0.00000,0.44000,0.00290,0.43400,0.44600,0.00800,0.00000,1.00000
daejun,Dark-eyed Junco,Junco hyemalis,Forest,NA,0.37000,0.00040,0.36900,0.37100,0.44300,1.00000,0.00000,0.44000,0.00040,0.43900,0.44100,0.52100,1.00000,0.00000
dickci,Dickcissel,Spiza americana,Grasslands,NA,0.37000,0.00130,0.36700,0.37300,0.38100,1.00000,0.00000,0.44000,0.00130,0.43800,0.44300,0.29800,0.00000,1.00000
doccor,double-crested cormorant,Nannopterum auritum,Water/wetland,NA,0.36500,0.00790,0.34900,0.38100,0.48700,1.00000,0.00000,0.43400,0.00780,0.41900,0.44900,0.40000,0.00000,1.00000
dowwoo,Downy Woodpecker,Dryobates pubescens,Forest,NA,0.37000,0.00070,0.36900,0.37100,0.61100,1.00000,0.00000,0.44000,0.00070,0.43900,0.44100,0.62500,1.00000,0.00000
dunlin,Dunlin,Calidris alpina,Water/wetland,NA,0.36400,0.00970,0.34500,0.38300,0.32000,0.00000,1.00000,0.43200,0.00970,0.41300,0.45100,0.21000,0.00000,1.00000
dusfly,Dusky Flycatcher,Empidonax oberholseri,Forest,NA,0.37000,0.00120,0.36800,0.37200,0.32500,0.00000,1.00000,0.44000,0.00120,0.43800,0.44200,0.67900,1.00000,0.00000
dusgro,Dusky Grouse,Dendragapus obscurus,Forest,NA,0.37000,0.00280,0.36500,0.37600,0.28600,0.00000,1.00000,0.44000,0.00280,0.43400,0.44500,0.91100,1.00000,0.00000
eargre,Eared Grebe,Podiceps nigricollis,Water/wetland,NA,0.37100,0.01770,0.33600,0.40500,0.06800,0.00000,1.00000,0.43800,0.01820,0.40300,0.47400,0.10900,0.00000,1.00000
easblu,Eastern Bluebird,Sialia sialis,Forest,NA,0.37000,0.00070,0.36900,0.37100,0.65700,1.00000,0.00000,0.44000,0.00080,0.43900,0.44100,0.61200,1.00000,0.00000
easkin,Eastern Kingbird,Tyrannus tyrannus,Grasslands,NA,0.37000,0.00090,0.36800,0.37200,0.46000,1.00000,0.00000,0.44000,0.00090,0.43800,0.44200,0.50800,1.00000,0.00000
easmea,Eastern Meadowlark,Sturnella magna,Grasslands,NA,0.37000,0.00100,0.36800,0.37200,0.50200,1.00000,0.00000,0.44000,0.00110,0.43800,0.44200,0.36800,0.00000,1.00000
easowl1,Eastern Screech-Owl,Megascops asio,Forest,NA,0.37000,0.00110,0.36800,0.37200,0.68200,1.00000,0.00000,0.44000,0.00110,0.43800,0.44200,0.65200,1.00000,0.00000
easpho,Eastern Phoebe,Sayornis phoebe,Forest,NA,0.37000,0.00070,0.36900,0.37100,0.67000,1.00000,0.00000,0.44000,0.00070,0.43800,0.44100,0.62000,1.00000,0.00000
eastow,Eastern Towhee,Pipilo erythrophthalmus,Forest,NA,0.37000,0.00100,0.36800,0.37200,0.71000,1.00000,0.00000,0.44000,0.00100,0.43800,0.44200,0.69900,1.00000,0.00000
easwpw1,Eastern Whip-poor-will,Antrostomus vociferus,Forest,Tipping Point,0.37000,0.00210,0.36600,0.37400,0.83300,1.00000,0.00000,0.44000,0.00210,0.43600,0.44400,0.87700,1.00000,0.00000
eawpew,Eastern Wood-Pewee,Contopus virens,Forest,NA,0.37000,0.00080,0.36900,0.37200,0.60700,1.00000,0.00000,0.44000,0.00080,0.43800,0.44200,0.62000,1.00000,0.00000
evegro,Evening Grosbeak,Coccothraustes vespertinus,Forest,Tipping Point,0.37000,0.00150,0.36700,0.37300,0.54800,1.00000,0.00000,0.44000,0.00160,0.43700,0.44300,0.88200,1.00000,0.00000
ferhaw,Ferruginous Hawk,Buteo regalis,Grasslands,NA,0.37000,0.00130,0.36800,0.37300,0.34800,0.00000,1.00000,0.44000,0.00130,0.43700,0.44300,0.33800,0.00000,1.00000
fiespa,Field Sparrow,Spizella pusilla,Forest,NA,0.37000,0.00080,0.36800,0.37200,0.59400,1.00000,0.00000,0.44000,0.00080,0.43800,0.44200,0.55000,1.00000,0.00000
fiscro,Fish Crow,Corvus ossifragus,Habitat Generalist,NA,0.37000,0.00280,0.36400,0.37500,0.58700,1.00000,0.00000,0.43900,0.00290,0.43400,0.44500,0.56400,1.00000,0.00000
forter,Forster's Tern,Sterna forsteri,Water/wetland,NA,0.36000,0.00570,0.34900,0.37100,0.46700,1.00000,0.00000,0.42800,0.00590,0.41700,0.44000,0.46600,1.00000,0.00000
foxspa,Fox Sparrow,Passerella iliaca,Forest,NA,0.36900,0.00080,0.36800,0.37100,0.29100,0.00000,1.00000,0.43900,0.00080,0.43800,0.44100,0.39000,0.00000,1.00000
fragul,Franklin's Gull,Leucophaeus pipixcan,Water/wetland,NA,0.37000,0.00830,0.35300,0.38600,0.47700,1.00000,0.00000,0.44000,0.00910,0.42200,0.45800,0.49400,1.00000,0.00000
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,Water/wetland,NA,0.37000,0.00830,0.35400,0.38600,0.21600,0.00000,1.00000,0.44000,0.00860,0.42400,0.45700,0.26000,0.00000,1.00000
gadwal,Gadwall,Mareca strepera,Water/wetland,NA,0.37000,0.00190,0.36600,0.37400,0.31000,0.00000,1.00000,0.44000,0.00200,0.43600,0.44400,0.33200,0.00000,1.00000
gamqua,Gambel's Quail,Callipepla gambelii,Aridlands,NA,0.37000,0.00310,0.36400,0.37600,0.20900,0.00000,1.00000,0.44000,0.00320,0.43400,0.44600,0.00700,0.00000,1.00000
gbbgul,Great Black-backed Gull,Larus marinus,Water/wetland,Tipping Point,0.33300,0.01480,0.30400,0.36200,0.78300,1.00000,0.00000,0.39700,0.01660,0.36400,0.42900,0.18900,0.00000,1.00000
gilfli,Gilded Flicker,Colaptes chrysoides,Aridlands,NA,0.37000,0.00620,0.35800,0.38300,0.22500,0.00000,1.00000,0.44000,0.00640,0.42800,0.45300,0.00000,0.00000,1.00000
gilwoo,Gila Woodpecker,Melanerpes uropygialis,Aridlands,NA,0.37000,0.00520,0.36000,0.38100,0.32400,0.00000,1.00000,0.44000,0.00530,0.43000,0.45100,0.00500,0.00000,1.00000
gloibi,Glossy Ibis,Plegadis falcinellus,Water/wetland,NA,0.36900,0.00760,0.35500,0.38400,0.55300,1.00000,0.00000,0.44000,0.00770,0.42500,0.45500,0.51300,1.00000,0.00000
gnttow,Green-tailed Towhee,Pipilo chlorurus,Aridlands,NA,0.37000,0.00120,0.36800,0.37200,0.25000,0.00000,1.00000,0.44000,0.00130,0.43800,0.44200,0.45500,1.00000,0.00000
gnwtea,Green-winged Teal,Anas crecca,Water/wetland,NA,0.37000,0.00290,0.36400,0.37500,0.21400,0.00000,1.00000,0.43900,0.00310,0.43300,0.44600,0.25300,0.00000,1.00000
gockin,Golden-crowned Kinglet,Regulus satrapa,Forest,NA,0.37000,0.00080,0.36800,0.37100,0.56800,1.00000,0.00000,0.44000,0.00080,0.43800,0.44100,0.74400,1.00000,0.00000
gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,Water/wetland,NA,0.36900,0.00170,0.36600,0.37200,0.30600,0.00000,1.00000,0.43900,0.00180,0.43500,0.44200,0.39800,0.00000,1.00000
gofwoo,Golden-fronted Woodpecker,Melanerpes aurifrons,Aridlands,NA,0.37000,0.00350,0.36300,0.37700,0.41100,1.00000,0.00000,0.44000,0.00350,0.43300,0.44700,0.09400,0.00000,1.00000
goleag,Golden Eagle,Aquila chrysaetos,Habitat Generalist,NA,0.37000,0.00150,0.36700,0.37300,0.12600,0.00000,1.00000,0.44000,0.00160,0.43700,0.44300,0.29500,0.00000,1.00000
gowwar,Golden-winged Warbler,Vermivora chrysoptera,Forest,Tipping Point,0.37000,0.00230,0.36600,0.37500,0.64500,1.00000,0.00000,0.44000,0.00230,0.43500,0.44400,0.77300,1.00000,0.00000
graspa,Grasshopper Sparrow,Ammodramus savannarum,Grasslands,NA,0.37000,0.00110,0.36800,0.37200,0.50200,1.00000,0.00000,0.44000,0.00110,0.43800,0.44200,0.52500,1.00000,0.00000
grawar,Grace's Warbler,Setophaga graciae,Forest,Tipping Point,0.37000,0.00470,0.36000,0.37900,0.43300,1.00000,0.00000,0.44000,0.00480,0.43100,0.44900,0.65100,1.00000,0.00000
grbani,Groove-billed Ani,Crotophaga sulcirostris,Habitat Generalist,NA,0.37000,0.00790,0.35500,0.38600,0.16900,0.00000,1.00000,0.44000,0.00840,0.42400,0.45700,0.05500,0.00000,1.00000
grbher3,Great Blue Heron,Ardea herodias,Water/wetland,NA,0.36900,0.00090,0.36800,0.37100,0.41400,1.00000,0.00000,0.43900,0.00090,0.43700,0.44100,0.39600,0.00000,1.00000
grcfly,Great Crested Flycatcher,Myiarchus crinitus,Forest,NA,0.37000,0.00080,0.36800,0.37100,0.62700,1.00000,0.00000,0.44000,0.00080,0.43800,0.44200,0.60100,1.00000,0.00000
greegr,Great Egret,Ardea alba,Water/wetland,NA,0.36900,0.00250,0.36400,0.37400,0.36300,0.00000,1.00000,0.43900,0.00260,0.43400,0.44400,0.37100,0.00000,1.00000
greroa,Greater Roadrunner,Geococcyx californianus,Aridlands,NA,0.37000,0.00200,0.36600,0.37400,0.45800,1.00000,0.00000,0.44000,0.00210,0.43600,0.44400,0.11000,0.00000,1.00000
gresca,Greater Scaup,Aythya marila,Water/wetland,NA,0.36600,0.00690,0.35200,0.38000,0.24200,0.00000,1.00000,0.43500,0.00700,0.42200,0.44900,0.21400,0.00000,1.00000
greyel,Greater Yellowlegs,Tringa melanoleuca,Water/wetland,NA,0.37000,0.00170,0.36600,0.37300,0.19400,0.00000,1.00000,0.44000,0.00170,0.43600,0.44300,0.18800,0.00000,1.00000
grhowl,Great Horned Owl,Bubo virginianus,Habitat Generalist,NA,0.37000,0.00060,0.36900,0.37100,0.36700,0.00000,1.00000,0.44000,0.00060,0.43900,0.44100,0.38700,0.00000,1.00000
grnher,Green Heron,Butorides virescens,Water/wetland,NA,0.37000,0.00100,0.36800,0.37200,0.50600,1.00000,0.00000,0.44000,0.00110,0.43800,0.44200,0.49100,1.00000,0.00000
grnjay,Green Jay,Cyanocorax yncas,Aridlands,NA,0.37000,0.00590,0.35900,0.38200,0.31100,0.00000,1.00000,0.44000,0.00590,0.42900,0.45200,0.05800,0.00000,1.00000
grpchi,Greater Prairie-Chicken,Tympanuchus cupido,Grasslands,NA,0.37000,0.00340,0.36300,0.37700,0.66700,1.00000,0.00000,0.44000,0.00360,0.43300,0.44700,0.67900,1.00000,0.00000
grtgra,Great-tailed Grackle,Quiscalus mexicanus,Habitat Generalist,NA,0.37000,0.00390,0.36200,0.37700,0.30800,0.00000,1.00000,0.43900,0.00410,0.43100,0.44800,0.10600,0.00000,1.00000
grycat,Gray Catbird,Dumetella carolinensis,Forest,NA,0.37000,0.00080,0.36800,0.37100,0.51500,1.00000,0.00000,0.44000,0.00080,0.43800,0.44100,0.54800,1.00000,0.00000
gryfly,Gray Flycatcher,Empidonax wrightii,Forest,NA,0.37000,0.00130,0.36700,0.37300,0.18800,0.00000,1.00000,0.44000,0.00130,0.43700,0.44300,0.29700,0.00000,1.00000
gryjay,Canada Jay,Perisoreus canadensis,Forest,NA,0.37000,0.00140,0.36700,0.37300,0.11800,0.00000,1.00000,0.44000,0.00160,0.43700,0.44300,0.51800,1.00000,0.00000
grykin,Gray Kingbird,Tyrannus dominicensis,Forest,NA,0.36900,0.02710,0.31600,0.42300,0.29700,0.00000,1.00000,0.43900,0.02900,0.38200,0.49500,0.24500,0.00000,1.00000
gryvir,Gray Vireo,Vireo vicinior,Forest,NA,0.37000,0.00310,0.36400,0.37600,0.23700,0.00000,1.00000,0.44000,0.00290,0.43400,0.44600,0.08500,0.00000,1.00000
gwfgoo,Greater White-fronted Goose,Anser albifrons,Water/wetland,NA,0.37000,0.00220,0.36600,0.37400,0.14200,0.00000,1.00000,0.44000,0.00210,0.43600,0.44400,0.15200,0.00000,1.00000
gycthr,Gray-cheeked Thrush,Catharus minimus,Forest,NA,0.37000,0.00120,0.36700,0.37200,0.13000,0.00000,1.00000,0.44000,0.00130,0.43700,0.44200,0.20300,0.00000,1.00000
haiwoo,Hairy Woodpecker,Dryobates villosus,Forest,NA,0.37000,0.00070,0.36900,0.37100,0.58000,1.00000,0.00000,0.44000,0.00080,0.43900,0.44100,0.75200,1.00000,0.00000
hamfly,Hammond's Flycatcher,Empidonax hammondii,Forest,NA,0.37000,0.00150,0.36700,0.37300,0.40400,1.00000,0.00000,0.44000,0.00150,0.43700,0.44300,0.71700,1.00000,0.00000
harduc,Harlequin Duck,Histrionicus histrionicus,Water/wetland,NA,0.31400,0.00610,0.30200,0.32600,0.44700,1.00000,0.00000,0.37400,0.00610,0.36200,0.38500,0.11200,0.00000,1.00000
harspa,Harris's Sparrow,Zonotrichia querula,Water/wetland,Tipping Point,0.37000,0.00170,0.36700,0.37300,0.42800,1.00000,0.00000,0.44000,0.00160,0.43700,0.44300,0.37200,0.00000,1.00000
henspa,Henslow's Sparrow,Centronyx henslowii,Grasslands,Tipping Point,0.37000,0.00280,0.36400,0.37600,0.50300,1.00000,0.00000,0.44000,0.00300,0.43400,0.44600,0.48100,1.00000,0.00000
heptan,Hepatic Tanager,Piranga flava,Forest,NA,0.37000,0.00490,0.36100,0.38000,0.44100,1.00000,0.00000,0.44000,0.00500,0.43000,0.45000,0.38800,0.00000,1.00000
hergul,Herring Gull,Larus argentatus,Water/wetland,NA,0.36400,0.00820,0.34800,0.38000,0.24800,0.00000,1.00000,0.43300,0.00900,0.41500,0.45000,0.60600,1.00000,0.00000
herthr,Hermit Thrush,Catharus guttatus,Forest,NA,0.37000,0.00070,0.36800,0.37100,0.48700,1.00000,0.00000,0.43900,0.00070,0.43800,0.44100,0.65200,1.00000,0.00000
herwar,Hermit Warbler,Setophaga occidentalis,Forest,NA,0.37000,0.00330,0.36400,0.37700,0.61100,1.00000,0.00000,0.44000,0.00340,0.43300,0.44700,0.83900,1.00000,0.00000
hoared,Hoary Redpoll,Acanthis hornemanni,Water/wetland,NA,0.36800,0.00190,0.36500,0.37200,0.01900,0.00000,1.00000,0.43800,0.00200,0.43400,0.44200,0.06800,0.00000,1.00000
hoomer,Hooded Merganser,Lophodytes cucullatus,Water/wetland,NA,0.37000,0.00230,0.36500,0.37500,0.44900,1.00000,0.00000,0.44000,0.00230,0.43500,0.44400,0.56400,1.00000,0.00000
hooori,Hooded Oriole,Icterus cucullatus,Aridlands,NA,0.37000,0.00310,0.36400,0.37600,0.33500,0.00000,1.00000,0.44000,0.00330,0.43300,0.44600,0.07000,0.00000,1.00000
hoowar,Hooded Warbler,Setophaga citrina,Forest,NA,0.37000,0.00170,0.36700,0.37300,0.87800,1.00000,0.00000,0.44000,0.00170,0.43700,0.44300,0.80500,1.00000,0.00000
horgre,Horned Grebe,Podiceps auritus,Water/wetland,NA,0.36300,0.00430,0.35400,0.37100,0.40400,1.00000,0.00000,0.43100,0.00430,0.42300,0.44000,0.43600,0.00000,0.00000
horlar,Horned Lark,Eremophila alpestris,Grasslands,NA,0.37000,0.00130,0.36800,0.37200,0.23700,0.00000,1.00000,0.44000,0.00130,0.43700,0.44300,0.26400,0.00000,1.00000
houfin,House Finch,Haemorhous mexicanus,Habitat Generalist,NA,0.37000,0.00140,0.36700,0.37300,0.35300,0.00000,1.00000,0.44000,0.00150,0.43700,0.44300,0.13700,0.00000,1.00000
houwre,House Wren,Troglodytes aedon,Forest,NA,0.37000,0.00050,0.36900,0.37100,0.42300,1.00000,0.00000,0.44000,0.00050,0.43900,0.44100,0.47000,1.00000,0.00000
hrshaw,Harris's Hawk,Parabuteo unicinctus,Aridlands,NA,0.37000,0.00560,0.35900,0.38100,0.31100,0.00000,1.00000,0.44000,0.00550,0.42900,0.45100,0.03100,0.00000,1.00000
hudgod,Hudsonian Godwit,Limosa haemastica,Water/wetland,Tipping Point,0.37000,0.00340,0.36300,0.37700,0.19600,0.00000,1.00000,0.44000,0.00380,0.43300,0.44700,0.19600,0.00000,1.00000
hutvir,Hutton's Vireo,Vireo huttoni,Forest,NA,0.37000,0.00330,0.36300,0.37600,0.60600,1.00000,0.00000,0.44000,0.00350,0.43300,0.44700,0.73500,1.00000,0.00000
incdov,Inca Dove,Columbina inca,Aridlands,NA,0.37000,0.01340,0.34400,0.39600,0.37200,0.00000,0.00000,0.43900,0.01390,0.41200,0.46700,0.10800,0.00000,1.00000
indbun,Indigo Bunting,Passerina cyanea,Forest,NA,0.37000,0.00090,0.36800,0.37200,0.58900,1.00000,0.00000,0.44000,0.00090,0.43800,0.44200,0.57800,1.00000,0.00000
juntit1,Juniper Titmouse,Baeolophus ridgwayi,Forest,NA,0.37000,0.00280,0.36400,0.37600,0.22500,0.00000,1.00000,0.44000,0.00280,0.43400,0.44500,0.14800,0.00000,1.00000
kenwar,Kentucky Warbler,Geothlypis formosa,Forest,NA,0.37000,0.00170,0.36700,0.37300,0.85200,1.00000,0.00000,0.44000,0.00170,0.43700,0.44300,0.82100,1.00000,0.00000
killde,Killdeer,Charadrius vociferus,Habitat Generalist,NA,0.37000,0.00100,0.36800,0.37200,0.27100,0.00000,1.00000,0.44000,0.00100,0.43800,0.44200,0.25800,0.00000,1.00000
kineid,King Eider,Somateria spectabilis,Water/wetland,Tipping Point,0.33100,0.00750,0.31700,0.34600,0.13100,0.00000,1.00000,0.39400,0.00790,0.37900,0.40900,0.00000,0.00000,1.00000
kinrai4,King Rail,Rallus elegans,Water/wetland,Tipping Point,0.36900,0.00590,0.35800,0.38100,0.45500,1.00000,0.00000,0.43900,0.00630,0.42700,0.45100,0.72600,1.00000,0.00000
labwoo,Ladder-backed Woodpecker,Dryobates scalaris,Aridlands,NA,0.37000,0.00170,0.36700,0.37300,0.44000,1.00000,0.00000,0.44000,0.00180,0.43600,0.44400,0.10100,0.00000,1.00000
